a1,a2,a3,a4,t-3,t-2,t-1,t
1251.714286,5118.285714,1809.142857,6443.142857,4.7,5.1,5.1,4.6
1129.857143,4374.714286,1602.571429,2479.285714,5.1,5.1,4.6,4.4
1041.285714,3781.285714,1494.428571,1539,5.1,4.6,4.4,4.5
768,2940.142857,1247.857143,806.8571429,4.6,4.4,4.5,5.3
770.5714286,3068.142857,1057.285714,627,4.4,4.5,5.3,4
969,3368.857143,1361.571429,822.2857143,4.5,5.3,4,3.6
955.1428571,3142.571429,1109.857143,676.5714286,5.3,4,3.6,3.4
1006.571429,3679.142857,1394.571429,530.2857143,4,3.6,3.4,3.7
1024.571429,3865.714286,1231.714286,581,3.6,3.4,3.7,3.5
1013.142857,3707.285714,1252.571429,626.8571429,3.4,3.7,3.5,3.6
1029.714286,3618.428571,1277.428571,547.2857143,3.7,3.5,3.6,3.8
1172.285714,4646.857143,1732.857143,2049,3.5,3.6,3.8,3.8
1390.714286,4997.428571,1586.428571,1521.428571,3.6,3.8,3.8,4.1
1092.142857,4130.142857,1587.714286,1062.857143,3.8,3.8,4.1,3.9
1127,3517.571429,1188.571429,680.8571429,3.8,4.1,3.9,5.9
869.7142857,2958,1104.857143,472.8571429,4.1,3.9,5.9,3.9
842.5714286,2719,1311.857143,446.2857143,3.9,5.9,3.9,3.9
732.5714286,2312.571429,1067.571429,362.8571429,5.9,3.9,3.9,3.7
701.4285714,2123,860,302.8571429,3.9,3.9,3.7,3.6
676.1428571,2100.571429,952.8571429,261.8571429,3.9,3.7,3.6,3.4
787,2138.857143,1150.571429,280.2857143,3.7,3.6,3.4,3.9
765.1428571,2199.857143,993.8571429,243.2857143,3.6,3.4,3.9,3.4
749.8571429,2122.142857,1101,238.2857143,3.4,3.9,3.4,3.6
726.8571429,2136.142857,975.2857143,241.2857143,3.9,3.4,3.6,3.6
758.1428571,2244,1173.571429,207,3.4,3.6,3.6,3.4
784.2857143,2414.428571,1054.428571,205.8571429,3.6,3.6,3.4,3.4
944.8571429,2648.142857,1096.142857,204.1428571,3.6,3.4,3.4,3.3
951.4285714,2968.571429,925.7142857,237.1428571,3.4,3.4,3.3,3.3
967,3126.428571,972.2857143,197.5714286,3.4,3.3,3.3,3.3
977.1428571,3275.428571,1141.857143,212.5714286,3.3,3.3,3.3,3.4
990.2857143,3394.142857,1389.714286,214.2857143,3.3,3.3,3.4,3.3
902.7142857,3312.428571,898.7142857,210.8571429,3.3,3.4,3.3,3.1
886.8571429,3161.142857,1090.714286,218.5714286,3.4,3.3,3.1,3.2
923.7142857,3438.571429,997.1428571,214.2857143,3.3,3.1,3.2,3.3
920.5714286,3655.571429,1056,229.4285714,3.1,3.2,3.3,3.5
957.5714286,3626,985.8571429,202.8571429,3.2,3.3,3.5,3.1
1043.142857,3720.428571,972,211.5714286,3.3,3.5,3.1,4.3
924.8571429,3725.571429,961.2857143,192.2857143,3.5,3.1,4.3,3.3
1070.857143,4233.285714,1107.714286,224.7142857,3.1,4.3,3.3,3.4
1082.714286,3862.142857,982.5714286,230.7142857,4.3,3.3,3.4,3.6
1139.142857,3985.857143,852.1428571,227.5714286,3.3,3.4,3.6,3.4
1097.714286,4066.428571,843.7142857,212.5714286,3.4,3.6,3.4,3.6
1068,3925.428571,848.8571429,219,3.6,3.4,3.6,3.6
1026.857143,3727.714286,825.2857143,221.1428571,3.4,3.6,3.6,3.6
1112,4208.571429,1074.857143,250.7142857,3.6,3.6,3.6,3.6
1110.571429,4230.714286,1021.714286,274.4285714,3.6,3.6,3.6,3.7
1326,4889.571429,1331.857143,324.7142857,3.6,3.6,3.7,3.8
1322.714286,5163.857143,1307.714286,344.4285714,3.6,3.7,3.8,3.4
1286.571429,4778.142857,1337.571429,459.7142857,3.7,3.8,3.4,3.6
1449.857143,5126.857143,1403.285714,482.2857143,3.8,3.4,3.6,4.4
1565.285714,5880.428571,1648.285714,688,3.4,3.6,4.4,4.3
1634.857143,6182.428571,1801,883.4285714,3.6,4.4,4.3,4.3
1504.428571,5394.428571,1489.285714,1000.428571,4.4,4.3,4.3,4.1
1415.285714,4778.428571,1375.714286,1186.714286,4.3,4.3,4.1,4.8
1018.428571,3705.285714,1344,861.8571429,4.3,4.1,4.8,4.2
974.4285714,3667.142857,1127.714286,538.5714286,4.1,4.8,4.2,3.2
