a1,t-3,t-2,t-1,t
201.8571429,4.7,5.1,5.1,4.6
242.8571429,5.1,5.1,4.6,4.4
152.8571429,5.1,4.6,4.4,4.5
111.4285714,4.6,4.4,4.5,5.3
62.71428571,4.4,4.5,5.3,4
68.28571429,4.5,5.3,4,3.6
93.42857143,5.3,4,3.6,3.4
113.8571429,4,3.6,3.4,3.7
117.2857143,3.6,3.4,3.7,3.5
103,3.4,3.7,3.5,3.6
98.85714286,3.7,3.5,3.6,3.8
96.85714286,3.5,3.6,3.8,3.8
333.1428571,3.6,3.8,3.8,4.1
337.4285714,3.8,3.8,4.1,3.9
246.7142857,3.8,4.1,3.9,5.9
184.4285714,4.1,3.9,5.9,3.9
147,3.9,5.9,3.9,3.9
136.8571429,5.9,3.9,3.9,3.7
121.2857143,3.9,3.9,3.7,3.6
107.7142857,3.9,3.7,3.6,3.4
94,3.7,3.6,3.4,3.9
60.42857143,3.6,3.4,3.9,3.4
34.42857143,3.4,3.9,3.4,3.6
24.42857143,3.9,3.4,3.6,3.6
25.71428571,3.4,3.6,3.6,3.4
0,3.6,3.6,3.4,3.4
17.71428571,3.6,3.4,3.4,3.3
0,3.4,3.4,3.3,3.3
8.714285714,3.4,3.3,3.3,3.3
16.85714286,3.3,3.3,3.3,3.4
25.57142857,3.3,3.3,3.4,3.3
17.28571429,3.3,3.4,3.3,3.1
52,3.4,3.3,3.1,3.2
51,3.3,3.1,3.2,3.3
80.14285714,3.1,3.2,3.3,3.5
51.28571429,3.2,3.3,3.5,3.1
51.71428571,3.3,3.5,3.1,4.3
43.85714286,3.5,3.1,4.3,3.3
42.14285714,3.1,4.3,3.3,3.4
78.71428571,4.3,3.3,3.4,3.6
91.28571429,3.3,3.4,3.6,3.4
98.85714286,3.4,3.6,3.4,3.6
87.85714286,3.6,3.4,3.6,3.6
98.14285714,3.4,3.6,3.6,3.6
69.71428571,3.6,3.6,3.6,3.6
71.28571429,3.6,3.6,3.6,3.7
106.7142857,3.6,3.6,3.7,3.8
119,3.6,3.7,3.8,3.4
123.8571429,3.7,3.8,3.4,3.6
118.8571429,3.8,3.4,3.6,4.4
95.85714286,3.4,3.6,4.4,4.3
132,3.6,4.4,4.3,4.3
138,4.4,4.3,4.3,4.1
104.2857143,4.3,4.3,4.1,4.8
125.2857143,4.3,4.1,4.8,4.2
65.71428571,4.1,4.8,4.2,3.2
60.71428571,4.8,4.2,3.2,2.9
87.14285714,4.2,3.2,2.9,2.9
80.42857143,3.2,2.9,2.9,2.9
112.8571429,2.9,2.9,2.9,3
111,2.9,2.9,3,3
108,2.9,3,3,2.9
88.14285714,3,3,2.9,2.8
79.14285714,3,2.9,2.8,2.7
50.14285714,2.9,2.8,2.7,2.6
51,2.8,2.7,2.6,2.6
45,2.7,2.6,2.6,2.7
53.71428571,2.6,2.6,2.7,2.6
26,2.6,2.7,2.6,2.6
25.57142857,2.7,2.6,2.6,2.6
52.57142857,2.6,2.6,2.6,2.7
42.85714286,2.6,2.6,2.7,2.6
17.28571429,2.6,2.7,2.6,2.5
34.42857143,2.7,2.6,2.5,2.5
35.57142857,2.6,2.5,2.5,2.6
34.14285714,2.5,2.5,2.6,2.7
34.57142857,2.5,2.6,2.7,2.6
25.14285714,2.6,2.7,2.6,2.5
17.85714286,2.7,2.6,2.5,
34.42857143,2.6,2.5,,2.4
16.28571429,2.5,,2.4,2.4
16.28571429,,2.4,2.4,2.3
8.142857143,2.4,2.4,2.3,2.3
8.142857143,2.4,2.3,2.3,2.4
16.85714286,2.3,2.3,2.4,2.5
76,2.3,2.4,2.5,2.6
54,2.4,2.5,2.6,2.5
53,2.5,2.6,2.5,2.4
28.57142857,2.6,2.5,2.4,2.8
27.42857143,2.5,2.4,2.8,2.6
0,2.4,2.8,2.6,2.6
54.42857143,2.8,2.6,2.6,2.6
43.85714286,2.6,2.6,2.6,2.8
44.14285714,2.6,2.6,2.8,2.7
99.42857143,2.6,2.8,2.7,
72.42857143,2.8,2.7,,3
82,2.7,,3,3.1
71.85714286,,3,3.1,3.6
90.57142857,3,3.1,3.6,3.9
111,3.1,3.6,3.9,4.1
125.5714286,3.6,3.9,4.1,4.2
135.7142857,3.9,4.1,4.2,4.2
134.8571429,4.1,4.2,4.2,3.5
125,4.2,4.2,3.5,3.6
116.2857143,4.2,3.5,3.6,3.1
116.4285714,3.5,3.6,3.1,3.1
102.7142857,3.6,3.1,3.1,2.9
73.85714286,3.1,3.1,2.9,2.8
86.42857143,3.1,2.9,2.8,3.8
62.85714286,2.9,2.8,3.8,2.9
62,2.8,3.8,2.9,2.6
65,3.8,2.9,2.6,
107.1428571,2.9,2.6,,2.7
90.42857143,2.6,,2.7,2.6
76.85714286,,2.7,2.6,2.7
91.71428571,2.7,2.6,2.7,2.5
37.42857143,2.6,2.7,2.5,2.3
63.28571429,2.7,2.5,2.3,2.4
77.28571429,2.5,2.3,2.4,2.4
62.28571429,2.3,2.4,2.4,2.3
43.85714286,2.4,2.4,2.3,2.4
26,2.4,2.3,2.4,
35.28571429,2.3,2.4,,2.3
44.28571429,2.4,,2.3,2.5
63.42857143,,2.3,2.5,2.6
36.57142857,2.3,2.5,2.6,2.6
78.85714286,2.5,2.6,2.6,2.6
66.71428571,2.6,2.6,2.6,2.5
35.85714286,2.6,2.6,2.5,2.6
17.85714286,2.6,2.5,2.6,2.6
8.571428571,2.5,2.6,2.6,2.5
17.71428571,2.6,2.6,2.5,2.4
8.714285714,2.6,2.5,2.4,2.5
17.71428571,2.5,2.4,2.5,2.5
8.714285714,2.4,2.5,2.5,2.5
9.142857143,2.5,2.5,2.5,2.4
8.714285714,2.5,2.5,2.4,2.4
17.28571429,2.5,2.4,2.4,2.3
63.14285714,2.4,2.4,2.3,2.3
51.85714286,2.4,2.3,2.3,2.3
28,2.3,2.3,2.3,2.5
27.42857143,2.3,2.3,2.5,2.5
0,2.3,2.5,2.5,2.4
18.42857143,2.5,2.5,2.4,2.5
26.42857143,2.5,2.4,2.5,2.5
25.85714286,2.4,2.5,2.5,2.5
36.42857143,2.5,2.5,2.5,2.5
52,2.5,2.5,2.5,2.5
81.85714286,2.5,2.5,2.5,2.6
53.42857143,2.5,2.5,2.6,2.5
60.57142857,2.5,2.6,2.5,2.6
48.85714286,2.6,2.5,2.6,2.6
62.14285714,2.5,2.6,2.6,2.8
44.42857143,2.6,2.6,2.8,3.6
108.8571429,2.6,2.8,3.6,3
55.71428571,2.8,3.6,3,3.3
90.57142857,3.6,3,3.3,3.6
91.28571429,3,3.3,3.6,4
64.28571429,3.3,3.6,4,4.2
61.14285714,3.6,4,4.2,5.6
34.57142857,4,4.2,5.6,3.6
17.42857143,4.2,5.6,3.6,3.5
115.7142857,5.6,3.6,3.5,3.6
102.2857143,3.6,3.5,3.6,3.8
127.7142857,3.5,3.6,3.8,4
145.7142857,3.6,3.8,4,4
201,3.8,4,4,3.7
190.2857143,4,4,3.7,3.2
157.1428571,4,3.7,3.2,2.8
138.2857143,3.7,3.2,2.8,2.6
89.28571429,3.2,2.8,2.6,2.6
53.28571429,2.8,2.6,2.6,2.6
26.14285714,2.6,2.6,2.6,2.4
9.285714286,2.6,2.6,2.4,2.4
8.714285714,2.6,2.4,2.4,2.4
8.714285714,2.4,2.4,2.4,2.5
0,2.4,2.4,2.5,2.6
8.714285714,2.4,2.5,2.6,2.5
9.285714286,2.5,2.6,2.5,2.5
8.714285714,2.6,2.5,2.5,2.5
17.42857143,2.5,2.5,2.5,2.6
0,2.5,2.5,2.6,2.5
9.142857143,2.5,2.6,2.5,2.5
8.714285714,2.6,2.5,2.5,2.5
0,2.5,2.5,2.5,2.5
0,2.5,2.5,2.5,2.3
0,2.5,2.5,2.3,2.4
0,2.5,2.3,2.4,2.3
0,2.3,2.4,2.3,2.4
0,2.4,2.3,2.4,2.4
8.714285714,2.3,2.4,2.4,2.7
26.14285714,2.4,2.4,2.7,2.4
17.85714286,2.4,2.7,2.4,2.5
8.714285714,2.7,2.4,2.5,2.9
0,2.4,2.5,2.9,2.5
17.71428571,2.5,2.9,2.5,2.6
26.42857143,2.9,2.5,2.6,2.7
34.85714286,2.5,2.6,2.7,2.9
19.28571429,2.6,2.7,2.9,3.1
47.28571429,2.7,2.9,3.1,3.2
45.28571429,2.9,3.1,3.2,3.4
72.28571429,3.1,3.2,3.4,3.6
46.85714286,3.2,3.4,3.6,3.6
90,3.4,3.6,3.6,3.7
114.8571429,3.6,3.6,3.7,3.9
96,3.6,3.7,3.9,3.9
92.71428571,3.7,3.9,3.9,4.2
74.42857143,3.9,3.9,4.2,4
17.71428571,3.9,4.2,4,3.8
53.14285714,4.2,4,3.8,4.1
18,4,3.8,4.1,4
8.714285714,3.8,4.1,4,3.3
0,4.1,4,3.3,3
81.42857143,4,3.3,3,2.9
114.7142857,3.3,3,2.9,3
125.1428571,3,2.9,3,3.2
109.1428571,2.9,3,3.2,3.4
106.8571429,3,3.2,3.4,3.4
128.1428571,3.2,3.4,3.4,3.3
117.1428571,3.4,3.4,3.3,3.1
86.28571429,3.4,3.3,3.1,3.1
45.14285714,3.3,3.1,3.1,3.1
53.14285714,3.1,3.1,3.1,3.2
27.14285714,3.1,3.1,3.2,3.3
8.714285714,3.1,3.2,3.3,3
9.428571429,3.2,3.3,3,3.5
28.14285714,3.3,3,3.5,3
9,3,3.5,3,2.8
0,3.5,3,2.8,2.5
0,3,2.8,2.5,2.5
26.57142857,2.8,2.5,2.5,2.6
