a1,a2,a3,a4,a5,a6,a7,a8,a9,t-3,t-2,t-1,t
2522,294.8571429,2460,1595.428571,1374.428571,553.5714286,230.2857143,1765.571429,161.1428571,4.7,5.1,5.1,4.6
1705.571429,237.4285714,2284,1448.714286,798.4285714,301.2857143,217.5714286,1532,146,5.1,5.1,4.6,4.4
993,177.2857143,1895.571429,1176.857143,432.4285714,200.1428571,176.7142857,1306.285714,84.71428571,5.1,4.6,4.4,4.5
999.7142857,183.5714286,2136.714286,1279.285714,390.2857143,166.2857143,169,1325.285714,79.85714286,4.6,4.4,4.5,5.3
1268.142857,214,2216.571429,1476.142857,401.7142857,176.2857143,190.4285714,1508.428571,70.85714286,4.4,4.5,5.3,4
1249.714286,220.1428571,2223.714286,1414.285714,398.5714286,134.5714286,179.7142857,1510.714286,62.14285714,4.5,5.3,4,3.6
1179.714286,219,2335,1486.285714,442.7142857,149.4285714,183.1428571,1632.714286,88.57142857,5.3,4,3.6,3.4
975,231.4285714,2265.857143,1469,408.2857143,149.4285714,173.5714286,1491,71.28571429,4,3.6,3.4,3.7
998.1428571,232.4285714,2227.571429,1475.285714,424.4285714,137.4285714,174.8571429,1468,72.57142857,3.6,3.4,3.7,3.5
1122.571429,282.1428571,2175.857143,1433,445,118.8571429,186.2857143,1520.142857,68.85714286,3.4,3.7,3.5,3.6
13788.85714,1495.285714,2481,1595,3066.285714,201.2857143,1193,1616.428571,144.7142857,3.7,3.5,3.6,3.8
8443.571429,970.8571429,2616.428571,1692.142857,2703.571429,187.8571429,869.8571429,1650.571429,148.4285714,3.5,3.6,3.8,3.8
5074.285714,581.4285714,2413.285714,1649.571429,2034.428571,160.4285714,730.2857143,1622.714286,126.7142857,3.6,3.8,3.8,4.1
2956.142857,398,2131.571429,1538.285714,1529.571429,150.1428571,403.7142857,1553.571429,118.4285714,3.8,3.8,4.1,3.9
2050.571429,303.7142857,2207.428571,1400.571429,1030.285714,123.4285714,300.8571429,1518,81,3.8,4.1,3.9,5.9
1526,286.8571429,2084.857143,1315.285714,692.5714286,71.85714286,251.5714286,1529.571429,72.14285714,4.1,3.9,5.9,3.9
1182.571429,297.1428571,2099.714286,1037.285714,435.8571429,76.28571429,228.2857143,1481.285714,76.57142857,3.9,5.9,3.9,3.9
789.8571429,268,2107.285714,847.8571429,339.4285714,84.42857143,201.8571429,1452.857143,42.28571429,5.9,3.9,3.9,3.7
638.5714286,252.7142857,2136.714286,786.1428571,298.8571429,80.57142857,180.5714286,1939.857143,51,3.9,3.9,3.7,3.6
607,255.2857143,2235.285714,852.4285714,348.1428571,97.71428571,181.2857143,1703.571429,60.71428571,3.9,3.7,3.6,3.4
536.2857143,216.7142857,2221.571429,822.8571429,354.7142857,85.42857143,165.2857143,1469.714286,60.14285714,3.7,3.6,3.4,3.9
433,226,2102.285714,809.4285714,326.1428571,61.42857143,175.2857143,1486.857143,49.85714286,3.6,3.4,3.9,3.4
419.1428571,206.5714286,2133.857143,775.8571429,315.4285714,63.14285714,175.2857143,1486.571429,34.57142857,3.4,3.9,3.4,3.6
474.5714286,192.4285714,2207.857143,801.1428571,297.2857143,60.14285714,172.8571429,1552.571429,16.57142857,3.9,3.4,3.6,3.6
601.4285714,179.4285714,2237.428571,754,282.4285714,43.42857143,168.7142857,1617,34.14285714,3.4,3.6,3.6,3.4
414.5714286,182,2258.571429,845.1428571,298.2857143,26.14285714,166.5714286,1572.285714,42.28571429,3.6,3.6,3.4,3.4
562,192.4285714,2391.285714,1017.857143,365,26.42857143,175.1428571,1582.428571,42.71428571,3.6,3.4,3.4,3.3
435.5714286,169.2857143,2396.428571,1036,349.8571429,26.42857143,164.7142857,1578.857143,43.14285714,3.4,3.4,3.3,3.3
527.7142857,173.1428571,2351.428571,1138.571429,343,35.71428571,179.2857143,1602.714286,34.57142857,3.4,3.3,3.3,3.3
612.4285714,185.8571429,2435.285714,1147.142857,379.5714286,42.14285714,169.1428571,1738.142857,51,3.3,3.3,3.3,3.4
630.5714286,187.2857143,2445.285714,1139.571429,394.8571429,35.42857143,168.4285714,1766.571429,51.85714286,3.3,3.3,3.4,3.3
568.5714286,193.1428571,2334,1174.714286,349,51.28571429,168.5714286,1716.285714,45.14285714,3.3,3.4,3.3,3.1
586.7142857,229.1428571,2215.142857,1357.428571,351.2857143,42.42857143,166.7142857,1866.142857,60,3.4,3.3,3.1,3.2
627.1428571,222.8571429,2376.714286,1436.142857,374.4285714,34.57142857,175.4285714,1835.571429,64.14285714,3.3,3.1,3.2,3.3
620.1428571,217.4285714,2341.714286,1332,382.2857143,24.57142857,169,1812.428571,77.85714286,3.1,3.2,3.3,3.5
640,217,2099.571429,1336,371.7142857,17.42857143,166,1667.142857,53.57142857,3.2,3.3,3.5,3.1
698.7142857,176.1428571,2302.285714,1452.142857,394,33.71428571,148,1754.571429,54,3.3,3.5,3.1,4.3
2457.428571,234.4285714,2328.714286,1484.571429,437,35,162.7142857,1802.857143,92.14285714,3.5,3.1,4.3,3.3
2443.571429,230.2857143,2038.428571,1414.571429,390.8571429,34.42857143,171.8571429,1605,61.85714286,3.1,4.3,3.3,3.4
1910,251.8571429,2025.428571,1554.857143,357.2857143,43.85714286,178.7142857,1567.285714,71.42857143,4.3,3.3,3.4,3.6
1630.857143,244.5714286,2098.285714,1605.285714,336.7142857,42.71428571,161.8571429,1606.142857,81.14285714,3.3,3.4,3.6,3.4
1632.142857,246,2063.714286,1482.428571,366.4285714,59.71428571,166.7142857,1593.428571,84.14285714,3.4,3.6,3.4,3.6
