a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
6443.142857,1809.142857,1593.714286,766.2857143,1220,207.4285714,1251.714286,2.5,2.7,2.7,2.6
2479.285714,1602.571429,553.5714286,561,1060.714286,161.1428571,1129.857143,2.7,2.7,2.6,2.7
1539,1494.428571,301.2857143,547.8571429,927.2857143,146,1041.285714,2.7,2.6,2.7,2.6
806.8571429,1247.857143,200.1428571,393.7142857,701.5714286,84.71428571,768,2.6,2.7,2.6,3.1
627,1057.285714,166.2857143,387.8571429,696.8571429,79.85714286,770.5714286,2.7,2.6,3.1,2.5
822.2857143,1361.571429,176.2857143,437.5714286,831.1428571,70.85714286,969,2.6,3.1,2.5,2.4
676.5714286,1109.857143,134.5714286,471.4285714,822.5714286,62.14285714,955.1428571,3.1,2.5,2.4,2.7
530.2857143,1394.571429,149.4285714,565.2857143,857.4285714,88.57142857,1006.571429,2.5,2.4,2.7,2.6
581,1231.714286,149.4285714,544.2857143,918.8571429,71.28571429,1024.571429,2.4,2.7,2.6,2.6
626.8571429,1252.571429,137.4285714,511.2857143,945.1428571,72.57142857,1013.142857,2.7,2.6,2.6,2.6
547.2857143,1277.428571,118.8571429,466.8571429,900.2857143,68.85714286,1029.714286,2.6,2.6,2.6,3.2
2049,1732.857143,201.2857143,674.7142857,1066.571429,144.7142857,1172.285714,2.6,2.6,3.2,3.3
1521.428571,1586.428571,187.8571429,587,1200.714286,148.4285714,1390.714286,2.6,3.2,3.3,3.4
1062.857143,1587.714286,160.4285714,495.1428571,1069.428571,126.7142857,1092.142857,3.2,3.3,3.4,3.2
680.8571429,1188.571429,150.1428571,418.2857143,939.4285714,118.4285714,1127,3.3,3.4,3.2,3.6
472.8571429,1104.857143,123.4285714,375.7142857,693.2857143,81,869.7142857,3.4,3.2,3.6,3
446.2857143,1311.857143,71.85714286,381,677.2857143,72.14285714,842.5714286,3.2,3.6,3,3.3
362.8571429,1067.571429,76.28571429,359.7142857,573.7142857,76.57142857,732.5714286,3.6,3,3.3,3.3
302.8571429,860,84.42857143,363.7142857,531.1428571,42.28571429,701.4285714,3,3.3,3.3,3.5
261.8571429,952.8571429,80.57142857,341.2857143,527,51,676.1428571,3.3,3.3,3.5,3.5
280.2857143,1150.571429,97.71428571,374.8571429,548.4285714,60.71428571,787,3.3,3.5,3.5,3.7
243.2857143,993.8571429,85.42857143,357.4285714,532,60.14285714,765.1428571,3.5,3.5,3.7,3.4
238.2857143,1101,61.42857143,366.1428571,528.8571429,49.85714286,749.8571429,3.5,3.7,3.4,3.4
241.2857143,975.2857143,63.14285714,344,511.2857143,34.57142857,726.8571429,3.7,3.4,3.4,3.5
207,1173.571429,60.14285714,357,564.2857143,16.57142857,758.1428571,3.4,3.4,3.5,3.4
205.8571429,1054.428571,43.42857143,347.5714286,622,34.14285714,784.2857143,3.4,3.5,3.4,3.3
204.1428571,1096.142857,26.14285714,366.7142857,716.7142857,42.28571429,944.8571429,3.5,3.4,3.3,3.2
237.1428571,925.7142857,26.42857143,383.1428571,740.2857143,42.71428571,951.4285714,3.4,3.3,3.2,3.3
197.5714286,972.2857143,26.42857143,387.8571429,792.4285714,43.14285714,967,3.3,3.2,3.3,3.5
212.5714286,1141.857143,35.71428571,404.4285714,818.7142857,34.57142857,977.1428571,3.2,3.3,3.5,3.2
214.2857143,1389.714286,42.14285714,410.4285714,813.8571429,51,990.2857143,3.3,3.5,3.2,3.1
210.8571429,898.7142857,35.42857143,384.2857143,823.2857143,51.85714286,902.7142857,3.5,3.2,3.1,3
218.5714286,1090.714286,51.28571429,388.4285714,805.4285714,45.14285714,886.8571429,3.2,3.1,3,3
214.2857143,997.1428571,42.42857143,387.4285714,947.4285714,60,923.7142857,3.1,3,3,3
229.4285714,1056,34.57142857,399.5714286,952.5714286,64.14285714,920.5714286,3,3,3,3.2
202.8571429,985.8571429,24.57142857,406.4285714,913.7142857,77.85714286,957.5714286,3,3,3.2,2.5
211.5714286,972,17.42857143,392.8571429,972.5714286,53.57142857,1043.142857,3,3.2,2.5,3
192.2857143,961.2857143,33.71428571,387.5714286,845.4285714,54,924.8571429,3.2,2.5,3,2.8
224.7142857,1107.714286,35,459.8571429,1014.714286,92.14285714,1070.857143,2.5,3,2.8,2.5
230.7142857,982.5714286,34.42857143,404.4285714,916.1428571,61.85714286,1082.714286,3,2.8,2.5,2.5
227.5714286,852.1428571,43.85714286,452.2857143,996.4285714,71.42857143,1139.142857,2.8,2.5,2.5,2.7
212.5714286,843.7142857,42.71428571,460.2857143,963.2857143,81.14285714,1097.714286,2.5,2.5,2.7,2.6
219,848.8571429,59.71428571,432.8571429,981.7142857,84.14285714,1068,2.5,2.7,2.6,2.4
221.1428571,825.2857143,33.71428571,405.7142857,943.2857143,83.42857143,1026.857143,2.7,2.6,2.4,2.6
250.7142857,1074.857143,51.42857143,429.5714286,1038.571429,76.57142857,1112,2.6,2.4,2.6,2.5
274.4285714,1021.714286,70.28571429,410,1047.714286,62.85714286,1110.571429,2.4,2.6,2.5,2.9
324.7142857,1331.857143,84.14285714,591.5714286,1197.571429,115.2857143,1326,2.6,2.5,2.9,2.9
344.4285714,1307.714286,105.4285714,557.2857143,1237.142857,103.7142857,1322.714286,2.5,2.9,2.9,3.1
459.7142857,1337.571429,88.28571429,529.4285714,1244,126.2857143,1286.571429,2.9,2.9,3.1,3.3
482.2857143,1403.285714,103.2857143,586.1428571,1302,118.4285714,1449.857143,2.9,3.1,3.3,4
688,1648.285714,126.8571429,625.1428571,1335.428571,167.1428571,1565.285714,3.1,3.3,4,3.9
883.4285714,1801,133.2857143,659.4285714,1499.428571,178.1428571,1634.857143,3.3,4,3.9,3.6
1000.428571,1489.285714,122.8571429,697.7142857,1382.285714,161,1504.428571,4,3.9,3.6,3.4
1186.714286,1375.714286,161,655.5714286,1303.285714,155.1428571,1415.285714,3.9,3.6,3.4,4.3
861.8571429,1344,104.5714286,503.1428571,952,135.1428571,1018.428571,3.6,3.4,4.3,3.5
538.5714286,1127.714286,70.85714286,493.8571429,938.5714286,84.71428571,974.4285714,3.4,4.3,3.5,2.7
466.8571429,840.5714286,72.85714286,485.8571429,959.1428571,72.14285714,961.7142857,4.3,3.5,2.7,2.6
637.4285714,854.4285714,69.71428571,492.5714286,957,89.71428571,1028.428571,3.5,2.7,2.6,2.8
458.7142857,996.5714286,80.71428571,568.8571429,967.4285714,71.57142857,1059.428571,2.7,2.6,2.8,2.8
427.1428571,1117.285714,75,608.8571429,1137.714286,99,1129.285714,2.6,2.8,2.8,2.9
386.8571429,1049.714286,80.42857143,662.4285714,1167.142857,92.71428571,1205.571429,2.8,2.8,2.9,3
386.4285714,1059.571429,69.57142857,664.7142857,1164,77.28571429,1226.285714,2.8,2.9,3,3.1
316.5714286,954.2857143,66.85714286,622.7142857,1008.428571,83.71428571,1117.571429,2.9,3,3.1,3.2
303.7142857,814.4285714,63.85714286,601.1428571,899.2857143,62.85714286,1067.428571,3,3.1,3.2,3.2
274.4285714,870.8571429,62.28571429,604.7142857,908.5714286,60.28571429,1062.571429,3.1,3.2,3.2,3.1
292.2857143,828.8571429,65.28571429,600,904,34.14285714,1005.714286,3.2,3.2,3.1,3.1
250.5714286,804.4285714,62,572.7142857,866.5714286,61,1034.714286,3.2,3.1,3.1,3.2
241.7142857,776.4285714,43.71428571,522.4285714,824.5714286,24.71428571,980.7142857,3.1,3.1,3.2,2.9
245.4285714,905,36.28571429,565,950.2857143,26.28571429,1089.142857,3.1,3.2,2.9,3.1
264.8571429,828.5714286,49.71428571,526,859.7142857,51.14285714,974.8571429,3.2,2.9,3.1,3.2
279.8571429,761.7142857,53.85714286,504.4285714,824.5714286,44,953,2.9,3.1,3.2,3.6
366.5714286,816.5714286,80.71428571,477.8571429,778.8571429,8.714285714,867.1428571,3.1,3.2,3.6,3.7
412.1428571,873.7142857,80.85714286,497,855.4285714,61.28571429,998.1428571,3.2,3.6,3.7,3.6
401.5714286,915.2857143,72.71428571,513.5714286,882.5714286,42.85714286,1018.142857,3.6,3.7,3.6,3.4
316.7142857,824.7142857,66.28571429,461.1428571,794.7142857,50.71428571,968.4285714,3.7,3.6,3.4,3.4
313.1428571,881.1428571,64.71428571,444.1428571,787.5714286,60.42857143,978.7142857,3.6,3.4,3.4,3.5
304.8571429,823.1428571,66.57142857,458.2857143,774.4285714,25.57142857,1032.142857,3.4,3.4,3.5,3.5
286,832.4285714,63.85714286,436.4285714,825.2857143,44.14285714,1030,3.4,3.5,3.5,3.5
266.5714286,796.5714286,51.85714286,403.2857143,840.7142857,50.14285714,1097.714286,3.5,3.5,3.5,
332.7142857,785.1428571,60.28571429,406,833,25.14285714,1096,3.5,3.5,,3.3
370.5714286,845,58,410,790.5714286,27,1108.428571,3.5,,3.3,3.2
281,915.4285714,16.85714286,396.5714286,915.4285714,51.28571429,1162.714286,,3.3,3.2,2.9
241.1428571,940.4285714,8.571428571,422.8571429,984.5714286,34.28571429,1218.285714,3.3,3.2,2.9,2.8
256.5714286,967.8571429,42.71428571,447.4285714,954.8571429,42.42857143,1256.285714,3.2,2.9,2.8,2.7
255.2857143,959,0,438,964.7142857,44.14285714,1207.571429,2.9,2.8,2.7,2.8
232.7142857,1090.714286,8.714285714,412.1428571,1009.428571,41.85714286,1110.714286,2.8,2.7,2.8,2.9
224.8571429,1011.714286,0,430.2857143,1088.571429,33.28571429,1204.571429,2.7,2.8,2.9,2.6
226,1021.285714,0,463.5714286,1185.285714,35.14285714,1299.714286,2.8,2.9,2.6,2.7
216.4285714,1063.571429,0,480.1428571,1189.571429,36.42857143,1262.714286,2.9,2.6,2.7,3
188.4285714,910.2857143,0,406.4285714,939.1428571,27.42857143,1046.714286,2.6,2.7,3,2.6
223.2857143,996,8.571428571,461.1428571,1151.714286,17.42857143,1234.571429,2.7,3,2.6,2.4
231.1428571,915.5714286,8.571428571,450.2857143,1106.142857,25.85714286,1213.428571,3,2.6,2.4,2.4
238.5714286,886.7142857,0,468.1428571,990,34.71428571,1113.857143,2.6,2.4,2.4,2.4
230.5714286,886.1428571,0,428.2857143,1019,26.57142857,1102.571429,2.4,2.4,2.4,2.3
224,849.5714286,0,451.7142857,1076.142857,46.85714286,1146.142857,2.4,2.4,2.3,
204.7142857,942.5714286,0,440.8571429,1129.571429,53.85714286,1193.857143,2.4,2.3,,2.4
282.1428571,1175.428571,0,491.2857143,1222.285714,63.85714286,1355.428571,2.3,,2.4,2.4
392.8571429,1234.857143,69.28571429,511,1248.285714,74.57142857,1348,,2.4,2.4,2.3
539.1428571,1246.714286,103.4285714,533,1317.571429,87.85714286,1393.142857,2.4,2.4,2.3,2.3
786,1383.285714,92.42857143,569.2857143,1387.857143,117.8571429,1469.714286,2.4,2.3,2.3,2.5
1006.142857,1633.571429,95.42857143,582.4285714,1444.571429,116.5714286,1488.571429,2.3,2.3,2.5,2.7
907.7142857,2047.714286,127.5714286,623.5714286,1550.285714,105.1428571,1525.285714,2.3,2.5,2.7,2.9
