a1,a2,a3,a4,a5,a6,a7,t-3,t-2,t-1,t
2522,294.8571429,2460,401.1428571,1374.428571,230.2857143,532.1428571,2.5,2.7,2.7,2.6
1705.571429,237.4285714,2284,378.2857143,798.4285714,217.5714286,361.8571429,2.7,2.7,2.6,2.7
993,177.2857143,1895.571429,348.1428571,432.4285714,176.7142857,222.5714286,2.7,2.6,2.7,2.6
999.7142857,183.5714286,2136.714286,363.8571429,390.2857143,169,191.2857143,2.6,2.7,2.6,3.1
1268.142857,214,2216.571429,388.7142857,401.7142857,190.4285714,201,2.7,2.6,3.1,2.5
1249.714286,220.1428571,2223.714286,375,398.5714286,179.7142857,181.7142857,2.6,3.1,2.5,2.4
1179.714286,219,2335,391,442.7142857,183.1428571,209.7142857,3.1,2.5,2.4,2.7
975,231.4285714,2265.857143,384.5714286,408.2857143,173.5714286,195.5714286,2.5,2.4,2.7,2.6
998.1428571,232.4285714,2227.571429,374.4285714,424.4285714,174.8571429,205,2.4,2.7,2.6,2.6
1122.571429,282.1428571,2175.857143,364.1428571,445,186.2857143,193.2857143,2.7,2.6,2.6,2.6
13788.85714,1495.285714,2481,392.7142857,3066.285714,1193,404.2857143,2.6,2.6,2.6,3.2
8443.571429,970.8571429,2616.428571,429.4285714,2703.571429,869.8571429,338,2.6,2.6,3.2,3.3
5074.285714,581.4285714,2413.285714,396.5714286,2034.428571,730.2857143,266.5714286,2.6,3.2,3.3,3.4
2956.142857,398,2131.571429,364.4285714,1529.571429,403.7142857,204.4285714,3.2,3.3,3.4,3.2
2050.571429,303.7142857,2207.428571,361.1428571,1030.285714,300.8571429,148,3.3,3.4,3.2,3.6
1526,286.8571429,2084.857143,367.5714286,692.5714286,251.5714286,104.5714286,3.4,3.2,3.6,3
1182.571429,297.1428571,2099.714286,340.4285714,435.8571429,228.2857143,78.42857143,3.2,3.6,3,3.3
789.8571429,268,2107.285714,355.7142857,339.4285714,201.8571429,94,3.6,3,3.3,3.3
638.5714286,252.7142857,2136.714286,387,298.8571429,180.5714286,96.28571429,3,3.3,3.3,3.5
607,255.2857143,2235.285714,407.7142857,348.1428571,181.2857143,107.8571429,3.3,3.3,3.5,3.5
536.2857143,216.7142857,2221.571429,413.7142857,354.7142857,165.2857143,100.2857143,3.3,3.5,3.5,3.7
433,226,2102.285714,386.5714286,326.1428571,175.2857143,96.85714286,3.5,3.5,3.7,3.4
419.1428571,206.5714286,2133.857143,405.2857143,315.4285714,175.2857143,77.71428571,3.5,3.7,3.4,3.4
474.5714286,192.4285714,2207.857143,400.8571429,297.2857143,172.8571429,25.28571429,3.7,3.4,3.4,3.5
601.4285714,179.4285714,2237.428571,399.8571429,282.4285714,168.7142857,34.42857143,3.4,3.4,3.5,3.4
414.5714286,182,2258.571429,387.2857143,298.2857143,166.5714286,62.57142857,3.4,3.5,3.4,3.3
562,192.4285714,2391.285714,387,365,175.1428571,45.28571429,3.5,3.4,3.3,3.2
435.5714286,169.2857143,2396.428571,401.8571429,349.8571429,164.7142857,63.28571429,3.4,3.3,3.2,3.3
527.7142857,173.1428571,2351.428571,402,343,179.2857143,112.1428571,3.3,3.2,3.3,3.5
